0,Mcluonn,2100,male,sapiens,ours,synthetic,0,0,Unknown,"

Ebenezer

Ebenezer was born and raised in the country of Andorra. His father had been born in Britain, but had moved to Andorra as a young man to escape the draft. Ebenezer's father had never really explained to him what his life had been like in England before he moved. Ebenezer did, however, know that his grandmother was British.

Ebenezer always thought of himself as British and never felt",unstagy-Jamieson-dally-crabbedly,TOP.info,
0,Typiedy,2100,male,sapiens,ours,synthetic,42.560557,1.607078,Cal Borronet,"

To be born in a foreign country is not a privilege

Fernand was born in Andorra. He was born into a family that had been in the country for centuries. His father was a professor at the university, and his mother was a professor as well. His parents were wealthy, but they didn't have children, only one nephew.

Fernand's parents brought him to Andorra when he was six months old. They knew it was their home country and",daisied-Lester-vaporized-nonunanimously,TOP.info,
1,Thrauef,2100,male,sapiens,ours,synthetic,42.560557,1.607078,Cal Borronet,"

Mariano is a young man who lives in a small town in Andorra. He's a barista at the local coffee shop where he has worked for the past five years.

Mariano was born into a family of coffee farmers and has spent his life working with coffee. His family was once very wealthy but the coffee market has been down for the past decade, meaning they've had to cut back on their spending. Now, they sell their coffee at a lower",windowy-recitativo-disobey-plebeianly,TOP.info,
2,Mcdeoz,2100,male,sapiens,ours,synthetic,42.560557,1.607078,Cal Borronet,"

Liam

Liam is a male who was born in the Andorra, an area that is part of France and Spain. His parents were born in the Andorra, but they moved to the United States when Liam was six years old. He has lived in the US ever since, though he would love to move back. Liam is often sad because he misses his family and friends, but he never speaks of it because he knows they would want him to be happy.",skinny-bier-overbought-blamed,TOP.info,
3,Gnay,2100,male,sapiens,ours,synthetic,42.560557,1.607078,Cal Borronet," 

The Andorra is the world's largest bat species. They are the second most populous mammal in the world and they are found in every continent except Antarctica.

The Andorra was born in Europe in a cave system in the Alps. He grew up in the caves with his parents and three siblings. They lived a long, happy life. Then one day, the Andorra's father looked down and saw that his son was gone. He called out to his son",woodier-celestialness-predepreciate-Somerville,TOP.info,
4,Siurk,2100,male,sapiens,ours,synthetic,42.560557,1.607078,Cal Borronet,"

Alaric

Alaric was born in a small village in the Andorra mountains to a family of farmers. He spent his entire childhood working alongside his parents, teaching his brothers and sisters, and tending the fields. They were a tight-knit family, and Alaric was proud of his home, but determined to improve it.

Alaric set out to be a knight, but he was never very skilled. His lack of skill, combined with his",bonier-Rodrique-hied-nonabusively,TOP.info,
0,Skaoty,2100,female,sapiens,ours,synthetic,Unknown,Unknown,Unknown,"

Andorra has dark skin, a dark blue shirt, and brown hair.

Andorra grew up on the streets, doing whatever she had to do in order to survive. As a child, her family taught her how to protect herself and took care of her. Andorra had a tough childhood, but she is grateful for everything they did for her. Now she works as a personal assistant to a rich woman.",Nordic-Shapley-descend-regrettably,TOP.info,
1,Klautt,2100,female,sapiens,ours,synthetic,Unknown,Unknown,Unknown,"

Jessica is a student majoring in engineering. She has been interested in science and engineering since she was a child, and has been trying to find a way to make a career out of her passion for science and engineering.

Jessica's mother met her teacher when she was in the second grade, and after an initial meeting, Jessica's mom quickly fell in love with the teacher, and felt like he was her true soul mate. After school events, he would always come over to hang",pokiest-pekoe-Visconti-eastwards,TOP.info,
2,Wheax,2100,male,sapiens,ours,synthetic,Unknown,Unknown,Unknown,"

""He was born to a middle-class family in the year 2050.""

He was born in the year 2050. His father was a teacher and his mother was a stay-at-home mother. They retired when he was ten. He was one of the first children to be born with the ability to use his mind to create and manipulate data. He attended the local public school for several years before moving to a private school for his final year of high school.

He",dozy-Bren-scaling-preprudently,TOP.info,
3,Slaont,2100,female,sapiens,ours,synthetic,Unknown,Unknown,Unknown,"
 

She was born in Andorra. Her parents were from France and moved to Andorra when she was young.

I was born in Andorra. My parents came from France when I was young and we moved to Andorra when I was five.",gabled-Dehnel-certify-crousely,TOP.info,
4,Fles,2100,female,sapiens,ours,synthetic,Unknown,Unknown,Unknown,"

Fiona is the daughter of a wealthy family from the United States. She is an only child and has lived her whole life in a mansion in the suburbs, with no friends her age.

Fiona grew up learning to be a proper lady, and is often seen wearing a maid's outfit. On weekends, she might play dress-up in vintage dresses and gloves her mother collected. Fiona enjoys playing with dolls, and often makes them dance with her, sometimes even singing along.",plaided-portraitist-mature-unpontifically,TOP.info,
0,Synaehn,2100,male,sapiens,ours,synthetic,42.560557,1.607078,Cal Borronet,"

Past

When Andorra was born, he was disappointed with the world.

Andorra's father was constantly working, and all Andorra had to do was watch TV, play video games, and eat junk food.

But then Andorra's mother died, and his father lost his mind and abandoned Andorra.

Without his parents, Andorra had to fend for himself.

Andorra was able to get a good",wiglike-Chung-countdown-arctically,TOP.info,
